x1 x2 t
31.77 9.88 0
25.25 10.04 0
35.60 9.05 0
23.46 11.47 0
28.89 13.40 0
34.95 7.95 0
32.57 5.86 0
20.62 18.31 0
29.78 15.37 0
25.81 11.68 0
29.30 6.00 0
33.08 10.36 0
31.44 14.79 0
23.57 4.68 0
27.56 8.84 0
24.76 9.80 0
31.08 5.74 0
26.01 4.52 0
29.26 8.00 0
31.33 7.00 0
37.10 17.89 0
30.47 8.08 0
28.78 15.70 0
31.61 15.39 0
30.49 11.25 0
30.59 17.11 0
37.36 12.82 0
41.15 9.30 0
26.88 15.33 0
42.84 3.01 0
20.42 7.72 0
29.72 12.18 0
29.24 7.07 0
27.69 10.03 0
26.93 7.98 0
19.67 19.81 0
30.36 10.41 0
22.27 6.04 0
28.93 6.13 0
26.02 10.05 0
30.11 4.49 0
28.99 11.93 0
31.95 9.01 0
30.09 3.55 0
32.38 14.15 0
31.21 11.50 0
35.73 8.74 0
27.98 5.56 0
24.10 12.07 0
29.56 6.90 0
27.81 7.30 0
32.01 18.43 0
30.52 6.68 0
31.36 9.59 0
35.97 4.32 0
26.67 14.23 0
29.77 11.34 0
25.87 10.83 0
39.11 6.27 0
24.58 22.49 1
19.49 29.39 1
27.70 27.91 1
21.63 19.27 1
19.79 28.51 1
20.28 25.83 1
21.75 31.93 1
18.87 22.87 1
19.15 34.06 1
21.15 29.38 1
18.90 22.92 1
13.64 28.24 1
17.78 31.31 1
25.90 32.87 1
25.99 24.96 1
21.75 28.31 1
22.32 27.67 1
17.52 33.44 1
14.60 28.70 1
15.59 27.51 1
16.49 31.20 1
16.97 32.25 1
11.59 28.37 1
23.38 27.20 1
27.44 31.83 1
14.87 29.37 1
20.77 30.32 1
22.46 32.35 1
18.62 29.83 1
18.98 17.20 1
18.17 26.92 1
21.59 23.05 1
24.75 24.89 1
14.74 24.71 1
22.41 24.58 1
16.01 29.48 1
15.96 21.45 1
12.29 29.39 1
19.00 17.41 1
19.74 26.14 1
19.54 26.38 1
21.55 26.76 1
27.37 24.96 1
17.11 26.64 1
13.56 29.86 1
26.65 28.60 1
20.13 25.99 1
21.82 33.33 1
18.60 25.97 1
20.37 21.32 1
17.54 23.04 1
16.23 15.81 1
17.27 21.84 1
20.33 27.82 1
20.48 27.95 1
15.24 28.81 1
17.27 27.88 1
19.25 25.09 1
16.19 32.26 1
13.48 25.49 1
19.06 29.00 1
22.05 26.64 1
21.68 20.09 1
26.11 29.98 1
24.28 24.73 1
13.17 29.63 1
14.85 22.89 1
21.77 31.23 1
29.67 22.99 1
19.79 27.92 1
18.31 24.78 1
31.47 28.44 1
19.13 29.47 1
19.19 22.78 1
29.46 36.58 1
19.48 23.47 1
19.32 26.04 1
20.47 32.13 1
23.99 26.98 1
16.85 32.26 1
18.96 23.59 1
26.30 25.27 1
20.42 27.31 1
9.17 26.45 1
20.42 31.76 1
14.36 30.36 1
13.95 34.03 1
27.59 26.67 1
20.19 20.28 1
22.28 32.06 1
21.82 25.63 1
19.16 27.01 1
26.30 33.07 1
15.74 26.06 1
20.48 18.70 1
13.24 27.27 1
21.97 30.68 1
27.02 26.63 1
16.38 21.88 1
25.43 29.82 1
